trillion US$,what,qualifier,notes / story / interesting fact,category,data year,source,source URL
6.8,Savings from wind turbines ,over 30 years (globally),"At a combined cost of $1.8 trillion, wind turbines can deliver net savings of $7.7 trillion over three decades of operation.",saving,2020,source: Project Drawdown,https://www.drawdown.org/solutions/onshore-wind-turbines
1.4,-install costs,,$1.8 trillion,spending,2020,source: Project Drawdown,https://www.drawdown.org/solutions/onshore-wind-turbines
10.1,Potential revenue from nature-positive businesses,new opportunities & 400 million jobs,"Food, land & ocean use ($3.6tr), Infrastructure enhancement ($3tr), clean energy ($3.5tr)",earning,2020,source: World Economic Forum,https://www.weforum.org/press/2020/07/395-million-new-jobs-by-2030-if-businesses-prioritize-nature-says-world-economic-forum
,,,,,,,
2.4,Global military spending,,2023,fighting,2023,source: SIPRI,"https://www.sipri.org/media/press-release/2024/global-military-spending-surges-amid-war-rising-tensions-and-insecurity#:~:text=Global%20military%20spending%20surges%20amid%20war%2C%20rising%20tensions%20and%20insecurity,-22%20April%202024&text=(Stockholm%2C%2022%20April%202024),in%20real%20terms%20from%202022."
2.4,Global crime revenue,,"The trafficking of drugs, arms, humans, human organs, and cultural property; counterfeiting, illegal wildlife crime, illegal fishing, illegal logging, illegal mining, and crude oil theft. Inflation adjusted from $1.9 2017 figure. ",losing,2017,source: Global Financial Integrity,https://gfintegrity.org/report/transnational-crime-and-the-developing-world/
8.0,Global cost of cybercrime ,,,losing,2022,source: WEF,https://www.weforum.org/agenda/2023/06/us-china-cyber-espionage-campaign-cybersecurity-news/
12.0,Global health spend,,"Equivalent to 10% of GDP. 60% public, 40% private funding.",spending,2019,source: WEF,https://www3.weforum.org/docs/WEF_Global_Health_and_Healthcare_Strategic_Outlook_2023.pdf
4.5,-USA,,$4.5 Trillion,spending,2019,source: Centres for Medicaid & Medicare Services,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsHistorical
5.3,Global education spending,,"Government, overseas assistance and household spending on education",helping,2023,source: World Bank,https://thedocs.worldbank.org/en/doc/83e58d3341493b223668bb9d6cb7e9c2-0140022023/related/EFW-2023-Report-oct9v2.pdf
,,,,,,,
1.84,Saudi Aramco,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/saudi-aramco/marketcap/
3.08,Nvidia,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/saudi-aramco/marketcap/
3.27,Apple,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/apple/marketcap/
3.3,Microsoft,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/microsoft/marketcap/
2.2,Alphabet / Google,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/alphabet-google/marketcap/
1.9,Amazon,market value,as of Jun 2024,hoarding,2024,source: Companies Market Cap,https://companiesmarketcap.com/amazon/marketcap/
,,,,,,,
3.7,India,GDP,,earning,2023,source: Wikipedia,https://en.wikipedia.org/wiki/Economy_of_India
3.0,France,GDP,,earning,2023,source: Wikipedia,https://en.wikipedia.org/wiki/France
3.3,UK,GDP,,earning,2023,source: Wikipedia,https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom
4.4,Germany,GDP,,earning,2023,source: Wikipedia,https://en.wikipedia.org/wiki/Economy_of_Germany
4.4,Japan ,GDP,,earning,2023,source: Wikipedia,https://en.wikipedia.org/wiki/Economy_of_Japan
17.7,China GDP,2023,,earning,2023,source: Statista,https://www.statista.com/statistics/263770/gross-domestic-product-gdp-of-china/
26.2,USA GDP,2023,,earning,2023,source: Statista,https://www.statista.com/statistics/216985/forecast-of-us-gross-domestic-product/
,,,,,,,
4.5,US healthcare spending,,,spending,2022,source: Centres for Medicaid & Medicare Services,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsHistorical
6.1,US government budget,,Federal budget. ,spending,2023,Source: Treasury.gov,"https://fiscaldata.treasury.gov/americas-finance-guide/federal-spending/#:~:text=Key%20Takeaways,)%2C%20resulting%20in%20a%20deficit."
,,,,,,,
1.5,Global fashion industry,,,earning,2022,source: Statista,https://www.statista.com/topics/5091/apparel-market-worldwide/#topicOverview
5.6,Global wellness industry,market value,,earning,2022,source: Bloomberg,https://www.bloomberg.com/news/articles/2023-11-09/the-global-wellness-industry-is-now-worth-5-6-trillion
4.5,China's Belt & Road initiative,,A “belt” of overland corridors and a maritime “road” of shipping lanes directly linking China to 60 countries around the world. Median estimate. Estimates vary widely.,spending,2019,source: Centre for Strategic & International Studies,https://www.csis.org/analysis/how-big-chinas-belt-and-road
5.9,To meet the United Nation's SDGs ,Sustainable Development Goals (per year),Annual cost of meeting sustainable development goals in lower & middle-income & developing countries by 2030,spending,2015,source; UNCTAD,"https://unctad.org/sdg-costing/about#:~:text=The%20resulting%20cost%20estimates%20for,%241%2C383%20per%20person%20each%20year."
5.7,Top 20 internet companies ,market cap,"Amazon, Alphabet, Meta, Tencent, Alibaba, Netflix, ServiceNow, Booking.com, Meituan, Pinduoduo, Uber, Airbnb, Equinx, Shopify, Paypal, MercadoLibre, Jingdong Mall, Baidu, Copart, Interactive Brokers",earning,2023,source: Statista,https://www.statista.com/statistics/277483/market-value-of-the-largest-internet-companies-worldwide/
10.0,China's suspected hidden debt,estimated,owed by risky local government financing platforms that are backed by cities or provinces.,hoarding,2022,source: CNN,https://edition.cnn.com/2023/01/31/economy/china-local-governments-basic-services-debt-crisis-intl-hnk/index.html
6.4,US post 9/11 wars,"Afghanistan, Iraq","Since 2001. Iraq, Afghanistan, Syria, Pakistan. ",fighting,2020,source: CNBC,https://www.cnbc.com/2019/11/20/us-spent-6point4-trillion-on-middle-east-wars-since-2001-study.html
1.8,-Afghanistan & Iraq,,At least $1.8 trillion,fighting,2020,source: The Hill,https://thehill.com/policy/defense/416663-study-us-has-spent-nearly-6t-on-war-since-9-11
,,,,,,,
307.0,Global debt,,,losing,2023,source: WeForum,"https://www.weforum.org/agenda/2022/05/what-is-global-debt-why-high/#:~:text=What%20is%20global%20debt%3F,a%20global%20financial%20industry%20association."
9.0,Total external debt of low and middle income countries,,,owing,2022,source: UK parliament,"https://commonslibrary.parliament.uk/research-briefings/cbp-9830/#:~:text=In%202022%20external%20debts%20(borrowed,to%20reach%20US%241.1%20trillion."
17.3,US Household debt ,"mortgages, car loans etc",,owing,2023,source: Federal Reserve Bank of NY,"https://www.newyorkfed.org/microeconomics/hhdc#:~:text=Total%20household%20debt%20rose%20by,loan%20balances%20to%20%241.6%20trillion."
1.6,-Student debt,,,owing,2018,source: Federal Reserve,https://www.newyorkfed.org/newsevents/news/research/2022/20220510
34.0,US government debt,,2023,owing,2023,source: US Treasury,"https://fiscaldata.treasury.gov/americas-finance-guide/national-debt/#:~:text=Over%20the%20past%20100%20years,to%20pay%20down%20its%20debt."
,,,,,,,
12.2,All billionaires,total wealth,"Total combined wealth of all the world's 2,640 billionaires",hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
2.0,-China's,,$2 Trillion total wealth of 562 billionaires,hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
4.5,-America's,,"Collective wealth of 735 billionaires - including top five: Elon Musk, Jeff Bezos, Bill Gates, Mark Zuckerberg, Warren Buffett and Larry Ellison",hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
14.0,Estimated cost of reparations to black Americans for slavery,,inflation adjusted,helping,2020,source: Roosevelt Institute (PDF),https://rooseveltinstitute.org/wp-content/uploads/2020/07/RI_Report_ResurrectingthePromiseof40Acres_202005.pdf
40.0,Funds de-invested from fossil fuel companies,"1,550 investors","Almost 1,550 institutional investors have collectively pledged to divest this amount from fossil fuels",helping,2023,source: Harvard Business Review,https://hbr.org/2022/11/how-fossil-fuel-divestment-falls-short
15.0,Cost of the 2007/08 financial crisis,,2007-2012,losing,2012,source: Wall Street Journal,http://blogs.wsj.com/economics/2012/10/01/total-global-losses-from-financial-crisis-15-trillion/
12.4,Coronvirus pandemic cost to the world,,,spending,2023,source: Reuters,https://www.reuters.com/business/imf-sees-cost-covid-pandemic-rising-beyond-125-trillion-estimate-2022-01-20/
16.5,For the world to meet Paris climate change targets by 2030,renewable energy install costs,"$16.5tn. 2015. Replacing fossil fuels with renewable energy & improving efficiency of appliances & manufacturing, by 2030. ",spending,2015,source: Bloomberg,https://www.bloomberg.com/news/articles/2015-12-13/climate-deal-requires-16-5-trillion-investment-to-cut-pollution
30.0,"""Medicare For All"" - universal healthcare for everyone in the USA",10 year estimated cost,,helping,2023,source: CNBC,https://www.cnbc.com/2023/05/17/sanders-pushes-medicare-for-all-to-end-totally-broken-health-system.html
3.0,-per year,,$1.8 Trillion per year,helping,2019,source: CNBC,https://www.cnbc.com/2023/05/17/sanders-pushes-medicare-for-all-to-end-totally-broken-health-system.html
42.0,Wealth hidden offshore by the rich,,Inflation adjusted. Estimates range from $21-32tn. (in 2012),hoarding,2012,source: Reuters,https://www.reuters.com/article/idUSBRE86L03V/
,,,,,,,
,,,,,,,
73.0,Cost of Global Green Deal to eliminate 99.7% of carbon emissions by 2050,"Stanford study on how 143 nations can reach 100% clean, renewable energy","Would pay for itself over time by energy sales,
only requires 0.17% of the 143 countries' total land area for new infrastructure",winning,2020,source: Stanford Uni,https://phys.org/news/2019-12-country-green-stanford-paths-countries.html
20.0,-yearly savings in health & climate costs,,,,2020,source: Stanford Uni,https://phys.org/news/2017-08-countries-powered-percent-solar-energy.html
96.5,World GDP,,,earning,2023,source: Statista,"https://www.statista.com/statistics/268173/countries-with-the-largest-gross-domestic-product-gdp/#:~:text=Global%20gross%20domestic%20product%20amounts,fifth%20of%20this%20figure%20alone."
,,,,,,,
208.3,Total wealth of the 1%,Anyone with $1million+ in assets,"Cash & assets owned by the richest 1% of people worldwide, 59.4 million of them. (page 22 of the report)",hoarding,2023,source: Credit Suisse,https://www.credit-suisse.com/about-us/en/reports-research/global-wealth-report.html
2.7,Crypto ,Jun 2024,Estimated market value,hoarding,2024,source: Statista,https://www.statista.com/statistics/730876/cryptocurrency-maket-value/